施設名,施設名(英語),カテゴリ,都道府県名,市区町村名,行政区名,住所,住所(かな),電話番号,対象地区,対象に対する記述,緯度,経度,海抜(m),避難所高さ(m),許容人数,洪水対応,土砂災害対応,高潮対応,地震対応,津波対応,浸水対応,大火事対応,噴火対応,説明(日本語),説明(英語),標準地域コード
品川学園,Integrated E. & Jr. H. Sch. Shinagawa-gakuen,避難所,東京都,"","",品川区北品川3-9-30,"",03-3474-2671,北品川2丁目(一部)、北品川3丁目全域、北品川4丁目(一部)、南品川4丁目(一部),北品川2丁目町会、北品川3丁目親和会、都営南品川アパート自治会,35.61805,139.737982,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
御殿山小学校,Gotenyama E. Sch.,避難所,東京都,"","",品川区北品川5-2-6,"",03-3441-0674,北品川4丁目(一部)、北品川5丁目全域、北品川6丁目全域、東五反田2丁目(一部)、東五反田3丁目(一部),袖ケ崎新興会、御殿山町会、小関親睦会,35.623133,139.731772,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
台場小学校,Daiba E. Sch.,避難所,東京都,"","",品川区東品川1-8-30,"",03-3471-4942,北品川1丁目全域、北品川2丁目(一部)、東品川1丁目(一部)、東品川2丁目全域、東品川5丁目全域,北品川1丁目町会、都営北品川アパート自治会、都営北品川第2アパート自治会、八ツ山町会、天王洲会、都営天王洲団地自治会、東品川1、3丁目町会、都営東品川第4アパート自治会、都営東品川7棟自治会,35.621383,139.743185,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
城南小学校,Jonan E. Sch.,避難所,東京都,"","",品川区南品川2-8-21,"",03-3471-6000,南品川1丁目(一部)、南品川2丁目(一部)、南品川3丁目(一部)、南品川4丁目(一部)、南品川5丁目(一部),真交町会、博友町会、諏訪町会、明睦会、三睦会町会,35.613329,139.742746,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
浅間台小学校,Asamadai E. Sch.,避難所,東京都,"","",品川区南品川6-8-8,"",03-3474-2727,南品川2丁目(一部)、南品川4丁目(一部)、南品川5丁目(一部)、南品川6丁目全域、広町1丁目全域,東睦会、南品川南睦会、同友会町会、六丁目睦会,35.611484,139.736494,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
城南第二小学校,Jonan-dai-ni E. Sch.,避難所,東京都,"","",品川区東品川3-4-5,"",03-3471-7481,北品川2丁目(一部)、東品川1丁目(一部)、東品川3丁目(一部)、南品川1丁目(一部)、南品川2丁目(一部),△東親会、洌崎町会、櫻心会町会,35.615579,139.74599,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
東海中学校,Tokai Jr. H. Sch.,避難所,東京都,"","",品川区東品川3-30-15,"",03-3471-6951,東品川3丁目(一部)、東品川4丁目全域,東品川第一自治会、都営東品川第3アパート自治会、△東親会、自治八潮会,35.612621,139.748971,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
日野学園,Integrated E. & Jr. H. Sch. Hino-gakuen,避難所,東京都,"","",品川区東五反田2-11-1,"",03-3441-3200,東五反田1丁目(一部)、東五反田2丁目(一部)、東五反田3丁目(一部)、東五反田5丁目(一部)、西五反田1丁目(一部)、西五反田2丁目(一部)、西五反田3丁目(一部),五反田一丁目町会、東五反田みづほ町会、五反田中部町会、五反田東口町会、五反田睦町会、西五反田一・二・三町会、島津山自生会、都営東五反田二丁目アパート自治会,35.624505,139.728169,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
第三日野小学校,Dai-san-hino E. Sch.,避難所,東京都,"","",品川区上大崎1-19-19,"",03-3441-7780,東五反田1丁目(一部)、東五反田3丁目(一部)、東五反田4丁目(一部)、東五反田5丁目(一部)、上大崎1丁目全域、上大崎2丁目全域、上大崎3丁目全域,池田山町会、袖が崎町会、相生会、上大崎一丁目町会、上大崎一丁目愛誠会、上大崎一丁目第一愛誠会、上大崎池の谷町会、上大崎目黒駅前町会、上大崎三丁目町会、目黒駅前西口町会、中丸親和町会、上大崎長者丸町会,35.632801,139.723819,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
第四日野小学校,Dai-yon-hino E. Sch.,避難所,東京都,"","",品川区西五反田4-29-9,"",03-3491-1281,上大崎4丁目全域、西五反田3丁目(一部)、西五反田4丁目全域、西五反田5丁目(一部)、小山1丁目(一部)、小山台1丁目(一部),夕陽会、大崎本町三丁目町会、西五反田四丁目町会、西五反田五丁目西三町会,35.625804,139.712343,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
第一日野小学校,Dai-ichi-hino E. Sch.,避難所,東京都,"","",品川区西五反田6-5-32,"",03-3492-6259,西五反田1丁目(一部)、西五反田2丁目(一部)、西五反田3丁目(一部)、西五反田5丁目(一部)、西五反田6丁目、西五反田7丁目、西五反田8丁目、大崎4丁目(一部)、荏原1丁目(一部),西五反田一丁目町会、西五反田本町会、西五反田七・五・三町会、西五反田西二町会、西五反田協和町会、西五反田六丁目町会、西五反田南町会,35.622168,139.716098,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
芳水小学校,Hosui E. Sch.,避難所,東京都,"","",品川区大崎3-12-22,"",03-3491-0071,大崎1丁目全域、大崎2丁目全域、大崎3丁目全域、大崎4丁目(一部)、大崎5丁目全域,大崎一二三町会、大崎三五町会、大崎四丁目町会、大崎居木橋町会、大崎ウエストシティタワーズ自治会,35.619255,139.724717,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
三木小学校,Mitsugi E. Sch.,避難所,東京都,"","",品川区西品川3-16-28,"",03-3491-0404,西品川1丁目(一部)、西品川2丁目(一部)、西品川3丁目(一部)、豊町1丁目(一部),西品川三栄会、協力睦会、西品川新生会、西品川三ツ木会,35.615528,139.726856,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
大崎中学校,Osaki Jr. H. Sch.,避難所,東京都,"","",品川区西品川3-10-6,"",03-3491-6623,西品川2丁目(一部)、西品川3丁目(一部)、戸越1丁目(一部),品川尚和会、西品川二丁目会,35.615836,139.723011,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
立会小学校,Tachiai E. Sch.,避難所,東京都,"","",品川区東大井4-15-9,"",03-3474-4923,東大井1丁目(一部)、東大井3丁目(一部)、東大井4丁目(一部)、東大井5丁目(一部)、東大井6丁目(一部),大井立会町会、東大井林町会、東大井月見台町会、鮫洲仲町会、△大井元芝町会,35.604469,139.740191,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
