施設名,施設名(英語),カテゴリ,都道府県名,市区町村名,行政区名,住所,住所(かな),電話番号,対象地区,対象に対する記述,緯度,経度,海抜(m),避難所高さ(m),許容人数,洪水対応,土砂災害対応,高潮対応,地震対応,津波対応,浸水対応,大火事対応,噴火対応,説明(日本語),説明(英語),標準地域コード
黒門横町と大横町間の第1京浜国道,"",一時集合場所,"","","","","","",品川第一地区,"",35.371269,139.442495,"","","","","","","","","","","",北品川一丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
東八ツ山公園,"",一時集合場所,"","","","","","",品川第一地区,"",35.3729,139.4437,"","","","","","","","","","","",八ツ山町会、都営北品川アパート自治会、都営北品川第2アパート自治会,"",http://statdb.nstac.go.jp/lod/sac/C13109
聖跡公園,"",一時集合場所,"","","","","","",品川第一地区,"",35.378,139.4438,"","","","","","","","","","","",北品川二丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
子供の森公園,"",一時集合場所,"","","","","","",品川第一地区,"",35.3659,139.4418,"","","","","","","","","","","",北品川三丁目親和会,"",http://statdb.nstac.go.jp/lod/sac/C13109
城南中学校,"",一時集合場所,"","","","","","",品川第一地区,"",35.375,139.4417,"","","","","","","","","","","",北品川三丁目親和会,"",http://statdb.nstac.go.jp/lod/sac/C13109
御殿山小学校,"",一時集合場所,"","","","","","",品川第一地区,"",35.3724,139.4356,"","","","","","","","","","","",小関親睦会、袖ケ崎新興会,"",http://statdb.nstac.go.jp/lod/sac/C13109
小関公園,"",一時集合場所,"","","","","","",品川第一地区,"",35.371,139.44,"","","","","","","","","","","",小関親睦会,"",http://statdb.nstac.go.jp/lod/sac/C13109
開東閣,"",一時集合場所,"","","","","","",品川第一地区,"",35.3727,139.4411,"","","","","","","","","","","",御殿山町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
洲崎公園,"",一時集合場所,"","","","","","",品川第一地区,"",35.375,139.4446,"","","","","","","","","","","",洌崎町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
東品川海上公園,"",一時集合場所,"","","","","","",品川第一地区,"",35.372,139.4459,"","","","","","","","","","","",洌崎町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
台場小学校,"",一時集合場所,"","","","","","",品川第一地区,"",35.3718,139.4438,"","","","","","","","","","","",東品川一・三町会、都営東品川第4アパート自治会,"",http://statdb.nstac.go.jp/lod/sac/C13109
荏原神社,"",一時集合場所,"","","","","","",品川第一地区,"",35.372,139.4436,"","","","","","","","","","","",櫻心会町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
海徳寺,"",一時集合場所,"","","","","","",品川第一地区,"",35.3658,139.4435,"","","","","","","","","","","",櫻心会町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
天王洲公園,"",一時集合場所,"","","","","","",品川第一地区,"",35.3711,139.45,"","","","","","","","","","","",天王洲会、都営天王洲団地自治会,"",http://statdb.nstac.go.jp/lod/sac/C13109
台場浦公園,"",一時集合場所,"","","","","","",品川第一地区,"",35.3717,139.4435,"","","","","","","","","","","",都営東品川7棟自治会,"",http://statdb.nstac.go.jp/lod/sac/C13109
都営アパート前広場,"",一時集合場所,"","","","","","",品川第一地区,"",35.3725,139.4425,"","","","","","","","","","","",都営南品川アパート自治会,"",http://statdb.nstac.go.jp/lod/sac/C13109
南品川二丁目児童遊園,"",一時集合場所,"","","","","","",品川第二地区,"",35.3656,139.4434,"","","","","","","","","","","",真交町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
城南小学校,"",一時集合場所,"","","","","","",品川第二地区,"",35.3648,139.4434,"","","","","","","","","","","",博友町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
妙国寺,"",一時集合場所,"","","","","","",品川第二地区,"",35.3644,139.4436,"","","","","","","","","","","",諏訪町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
品川寺,"",一時集合場所,"","","","","","",品川第二地区,"",35.3635,139.4437,"","","","","","","","","","","",三睦会町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
海晏寺,"",一時集合場所,"","","","","","",品川第二地区,"",35.3628,139.4433,"","","","","","","","","","","",三睦会町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
天竜寺,"",一時集合場所,"","","","","","",品川第二地区,"",35.3652,139.4423,"","","","","","","","","","","",明睦会,"",http://statdb.nstac.go.jp/lod/sac/C13109
願行寺,"",一時集合場所,"","","","","","",品川第二地区,"",35.365,139.443,"","","","","","","","","","","",明睦会,"",http://statdb.nstac.go.jp/lod/sac/C13109
南品川児童センター,"",一時集合場所,"","","","","","",品川第二地区,"",35.3649,139.4419,"","","","","","","","","","","",同友会町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
広町公園,"",一時集合場所,"","","","","","",品川第二地区,"",35.3649,139.443,"","","","","","","","","","","",同友会町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
町田学園,"",一時集合場所,"","","","","","",品川第二地区,"",35.3631,139.4425,"","","","","","","","","","","",南品川南睦会,"",http://statdb.nstac.go.jp/lod/sac/C13109
品川第二地域センター,"",一時集合場所,"","","","","","",品川第二地区,"",35.3641,139.4429,"","","","","","","","","","","",東睦会,"",http://statdb.nstac.go.jp/lod/sac/C13109
品川特別支援学校,"",一時集合場所,"","","","","","",品川第二地区,"",35.3635,139.4417,"","","","","","","","","","","",六丁目睦会,"",http://statdb.nstac.go.jp/lod/sac/C13109
浅間台小学校,"",一時集合場所,"","","","","","",品川第二地区,"",35.3642,139.4411,"","","","","","","","","","","",六丁目睦会,"",http://statdb.nstac.go.jp/lod/sac/C13109
八潮高校,"",一時集合場所,"","","","","","",品川第二地区,"",35.3643,139.4448,"","","","","","","","","","","",東親会,"",http://statdb.nstac.go.jp/lod/sac/C13109
東海中学校,"",一時集合場所,"","","","","","",品川第二地区,"",35.3645,139.4456,"","","","","","","","","","","",東品川第一自治会、自治八潮会、都営東品川第3アパート自治会,"",http://statdb.nstac.go.jp/lod/sac/C13109
五反田南公園,"",一時集合場所,"","","","","","",大崎第一地区,"",35.3731,139.4329,"","","","","","","","","","","",五反田一丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
日野学園,"",一時集合場所,"","","","","","",大崎第一地区,"",35.3728,139.4341,"","","","","","","","","","","",東五反田みづほ町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
JR五反田東口広場,"",一時集合場所,"","","","","","",大崎第一地区,"",35.3735,139.4327,"","","","","","","","","","","",五反田中部町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
五反田公園,"",一時集合場所,"","","","","","",大崎第一地区,"",35.374,139.4324,"","","","","","","","","","","",五反田東口町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
